6,461538,0
6,461538,0
6,461538,0
0,98,0
0,0,136
0,98,8
0,0,45
0,117,3
0,0,45
0,98,3
0,0,91
0,98,5
0,0,91
0,98,5
0,0,91
0,98,5
0,0,45
0,466,3
1,117,0
0,0,45
1,0,0
0,392,3
1,98,0
0,0,45
1,0,0
0,349,3
1,87,0
0,0,91
1,0,0
0,392,5
1,98,0
0,0,136
1,0,0
0,392,8
1,98,0
0,0,45
1,0,0
0,466,3
1,117,0
0,0,45
1,0,0
0,392,3
1,98,0
0,0,91
1,0,0
0,392,5
1,98,0
0,0,91
1,0,0
0,392,5
1,98,0
0,0,91
1,0,0
0,392,5
1,98,0
0,0,45
1,0,0
0,466,3
1,117,0
0,0,45
1,0,0
0,392,3
1,98,0
0,0,45
1,0,0
0,349,3
1,87,0
0,0,91
1,0,0
0,131,5
0,0,136
0,131,8
0,0,45
0,156,3
0,0,45
0,131,3
0,0,91
0,131,5
0,0,91
0,131,5
0,0,91
0,131,5
0,0,45
0,622,3
1,156,0
0,0,45
1,0,0
0,523,3
1,131,0
0,0,45
1,0,0
0,466,3
1,117,0
0,0,91
1,0,0
0,147,5
0,0,136
0,147,8
0,0,45
0,740,3
1,185,0
0,0,45
1,0,0
0,587,3
1,147,0
0,0,91
1,0,0
0,587,5
1,147,0
0,0,91
1,0,0
0,73,5
0,0,91
0,73,5
0,0,91
0,73,5
0,0,91
0,233,53
1,98,0
0,0,91
0,233,5
1,0,40
1,98,8
1,0,45
1,117,3
0,0,40
1,0,5
0,233,3
1,98,0
0,0,91
1,0,0
0,233,5
1,98,0
0,0,91
1,0,0
0,233,5
1,98,0
0,0,91
1,0,0
0,196,5
1,98,0
1,0,45
1,117,3
0,0,43
1,0,2
0,196,3
1,98,0
0,0,45
1,0,0
0,262,3
1,87,0
0,0,91
1,0,0
0,466,5
1,392,0
2,98,0
0,0,91
1,0,0
0,466,5
1,392,0
2,0,40
2,98,8
2,0,45
2,117,3
1,0,40
0,0,0
2,0,5
0,466,3
1,392,0
2,98,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,98,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,98,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,98,0
2,0,45
2,117,3
1,0,43
0,0,0
2,0,2
0,466,3
1,392,0
2,98,0
0,0,45
1,0,0
2,0,0
0,523,3
1,440,0
2,87,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,294,0
3,131,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,294,0
3,0,40
3,131,8
3,0,45
3,156,3
2,0,40
0,0,0
1,0,0
3,0,5
0,466,3
1,392,0
2,294,0
3,131,0
0,0,91
1,0,0
2,0,0
3,0,0
0,466,5
1,392,0
2,294,0
3,131,0
0,0,91
1,0,0
2,0,0
3,0,0
0,466,5
1,392,0
2,294,0
3,131,0
0,0,91
1,0,0
2,0,0
3,0,0
0,466,5
1,392,0
2,294,0
3,131,0
3,0,45
3,156,3
2,0,43
0,0,0
1,0,0
3,0,2
0,466,3
1,392,0
2,294,0
3,131,0
0,0,45
1,0,0
2,0,0
3,0,0
0,587,3
1,440,0
2,294,0
3,117,0
0,0,91
1,0,0
2,0,0
3,0,0
0,440,5
1,392,0
2,294,0
3,147,0
0,0,91
1,0,0
2,0,0
0,440,5
1,392,0
2,294,0
3,0,40
3,147,8
3,0,45
3,185,3
2,0,40
0,0,0
1,0,0
3,0,5
0,440,3
1,392,0
2,294,0
3,147,0
0,0,91
1,0,0
2,0,0
3,0,0
0,440,5
1,392,0
2,294,0
3,147,0
0,0,91
1,0,0
2,0,0
3,0,0
0,392,5
1,294,0
2,73,0
0,0,45
1,0,0
0,370,3
1,294,0
2,0,43
2,73,5
1,0,88
0,0,0
2,0,3
0,73,5
0,0,91
0,466,53
1,392,0
2,98,0
0,0,91
1,0,0
0,466,5
1,392,0
2,0,40
2,98,8
2,0,45
2,117,3
1,0,40
0,0,0
2,0,5
0,466,3
1,392,0
2,98,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,98,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,98,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,98,0
2,0,45
2,117,3
1,0,43
0,0,0
2,0,2
0,466,3
1,392,0
2,98,0
0,0,45
1,0,0
2,0,0
0,523,3
1,440,0
2,87,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,98,0
0,0,91
1,0,0
0,466,5
1,392,0
2,0,40
2,98,8
2,0,45
2,117,3
1,0,40
0,0,0
2,0,5
0,466,3
1,392,0
2,98,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,98,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,98,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,98,0
2,0,45
2,117,3
1,0,43
0,0,0
2,0,2
0,466,3
1,392,0
2,98,0
0,0,45
1,0,0
2,0,0
0,523,3
1,440,0
2,87,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,294,0
3,131,0
0,0,91
1,0,0
2,0,0
0,466,5
1,392,0
2,294,0
3,0,40
3,131,8
3,0,45
3,156,3
2,0,40
0,0,0
1,0,0
3,0,5
0,466,3
1,392,0
2,294,0
3,131,0
0,0,91
1,0,0
2,0,0
3,0,0
0,466,5
1,392,0
2,294,0
3,131,0
0,0,91
1,0,0
2,0,0
3,0,0
0,466,5
1,392,0
2,294,0
3,131,0
0,0,91
1,0,0
2,0,0
3,0,0
0,466,5
1,392,0
2,294,0
3,131,0
3,0,45
3,156,3
