6,0,0
0,294,0
1,349,0
2,587,0
3,87,0
4,117,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,294,0
1,349,0
2,587,0
3,87,0
4,117,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,294,0
1,349,0
2,587,0
3,87,0
4,117,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,294,0
1,349,0
2,587,0
3,87,0
4,117,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,294,0
1,349,0
2,587,0
3,87,0
4,117,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,440,0
2,523,0
3,131,0
4,175,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,440,0
2,523,0
3,131,0
4,175,0
4,0,185
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,440,0
2,523,0
3,131,0
4,175,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,440,0
2,523,0
3,131,0
4,175,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,440,0
2,523,0
3,131,0
4,175,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,220,0
1,349,0
2,440,0
3,110,0
4,147,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,220,0
1,349,0
2,440,0
3,110,0
4,147,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,220,0
1,349,0
2,440,0
3,110,0
4,147,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,220,0
1,349,0
2,440,0
3,110,0
4,147,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,220,0
1,349,0
2,440,0
3,110,0
4,147,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,233,0
1,330,0
2,392,0
3,98,0
4,131,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,233,0
1,330,0
2,392,0
3,98,0
4,131,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,233,0
1,330,0
2,392,0
3,98,0
4,131,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,233,0
1,330,0
2,392,0
3,98,0
4,131,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,233,0
1,330,0
2,392,0
3,98,0
4,131,0
4,0,369
3,0,0
2,0,0
1,0,0
0,0,0
0,294,0
1,349,0
2,587,0
3,87,0
4,117,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,294,0
1,349,0
2,587,0
3,87,0
4,117,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,294,0
1,349,0
2,587,0
3,87,0
4,117,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,294,0
1,349,0
2,587,0
3,87,0
4,117,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,294,0
1,349,0
2,587,0
3,87,0
4,117,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,440,0
2,523,0
3,131,0
4,175,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,440,0
2,523,0
3,131,0
4,175,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,440,0
2,523,0
3,131,0
4,175,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,440,0
2,523,0
3,131,0
4,175,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,440,0
2,523,0
3,131,0
4,175,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,220,0
1,349,0
2,440,0
3,110,0
4,147,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,220,0
1,349,0
2,440,0
3,110,0
4,147,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,220,0
1,349,0
2,440,0
3,110,0
4,147,0
4,0,185
3,0,0
2,0,0
1,0,0
0,0,0
0,220,0
1,349,0
2,440,0
3,110,0
4,147,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,220,0
1,349,0
2,440,0
3,110,0
4,147,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,330,0
2,65,0
3,98,0
4,131,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,330,0
2,65,0
3,98,0
4,131,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,262,0
1,330,0
2,65,0
3,98,0
4,131,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,349,0
1,698,0
2,65,0
3,98,0
4,131,0
1,0,184
0,0,0
0,392,0
1,784,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,349,0
1,698,0
2,65,0
3,98,0
4,131,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,440,0
1,880,0
2,58,0
3,87,0
4,117,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,440,0
1,880,0
2,58,0
3,87,0
4,117,0
4,0,184
3,0,0
2,0,0
2,58,0
3,87,0
4,117,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,440,0
1,880,0
2,58,0
3,87,0
4,117,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,392,0
1,784,0
2,58,0
3,87,0
4,117,0
1,0,184
0,0,0
0,349,0
1,698,0
1,0,185
0,0,0
4,0,0
3,0,0
2,0,0
0,349,0
1,698,0
2,87,0
3,131,0
4,175,0
1,0,184
0,0,0
0,294,0
1,587,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,87,0
1,131,0
2,175,0
2,0,184
1,0,0
0,0,0
0,87,0
1,131,0
2,175,0
2,0,184
1,0,0
0,0,0
0,392,0
1,784,0
2,87,0
3,131,0
4,175,0
1,0,184
0,0,0
0,440,0
1,880,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,440,0
1,880,0
2,87,0
3,131,0
4,175,0
1,0,184
0,0,0
0,440,0
1,880,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,523,0
1,1047,0
2,73,0
3,110,0
4,147,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,587,0
1,1175,0
2,73,0
3,110,0
4,147,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,587,0
1,1175,0
2,73,0
3,110,0
4,147,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,440,0
1,880,0
2,73,0
3,110,0
4,147,0
1,0,184
0,0,0
0,440,0
1,880,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,440,0
1,880,0
2,73,0
3,110,0
4,147,0
1,0,184
0,0,0
0,349,0
1,698,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,349,0
1,698,0
2,65,0
3,98,0
4,131,0
1,0,184
0,0,0
0,392,0
1,784,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,65,0
1,98,0
2,131,0
2,0,184
1,0,0
0,0,0
0,65,0
1,98,0
2,131,0
2,0,185
1,0,0
0,0,0
0,466,0
1,932,0
2,65,0
3,98,0
4,131,0
1,0,184
0,0,0
0,466,0
1,932,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,466,0
1,932,0
2,65,0
3,98,0
4,131,0
1,0,184
0,0,0
0,466,0
1,932,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,440,0
1,880,0
2,58,0
3,87,0
4,117,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,440,0
1,880,0
2,58,0
3,87,0
4,117,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,392,0
1,784,0
2,58,0
3,87,0
4,117,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,440,0
1,880,0
2,58,0
3,87,0
4,117,0
1,0,184
0,0,0
0,392,0
1,784,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,392,0
1,784,0
2,58,0
3,87,0
4,117,0
1,0,184
0,0,0
0,349,0
1,698,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,349,0
1,698,0
2,87,0
3,131,0
4,175,0
1,0,184
0,0,0
0,294,0
1,587,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,87,0
1,131,0
2,175,0
2,0,184
1,0,0
0,0,0
0,87,0
1,131,0
2,175,0
2,0,184
1,0,0
0,0,0
0,349,0
1,698,0
2,87,0
3,131,0
4,175,0
1,0,184
0,0,0
0,392,0
1,784,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,349,0
1,698,0
2,87,0
3,131,0
4,175,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,440,0
1,880,0
2,73,0
3,110,0
4,147,0
4,0,369
3,0,0
2,0,0
1,0,0
0,0,0
0,440,0
1,880,0
2,73,0
3,110,0
4,147,0
4,0,184
3,0,0
2,0,0
2,73,0
3,110,0
4,147,0
4,0,184
3,0,0
2,0,0
2,73,0
3,110,0
4,147,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,784,0
1,73,0
2,110,0
3,147,0
0,0,92
0,698,30
0,0,93
0,587,31
0,0,92
3,0,31
2,0,0
1,0,0
0,65,0
1,98,0
2,131,0
2,0,368
1,0,0
0,0,0
0,65,0
1,98,0
2,131,0
2,0,184
1,0,0
0,0,0
0,65,0
1,98,0
2,131,0
2,0,184
1,0,0
0,0,0
0,349,0
1,698,0
2,65,0
3,98,0
4,131,0
1,0,184
0,0,0
0,392,0
1,784,0
1,0,184
0,0,0
4,0,0
3,0,0
2,0,0
0,349,0
1,698,0
2,65,0
3,98,0
4,131,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,440,0
1,880,0
2,58,0
3,87,0
4,117,0
4,0,368
3,0,0
2,0,0
1,0,0
0,0,0
0,440,0
1,880,0
2,58,0
3,87,0
4,117,0
4,0,184
3,0,0
2,0,0
2,58,0
3,87,0
4,117,0
4,0,184
3,0,0
2,0,0
1,0,0
0,0,0
0,440,0
1,880,0
2,58,0
3,87,0
4,117,0
