6,521738,0
0,349,0
0,0,244
0,392,12
0,0,244
0,440,12
0,0,244
0,349,12
0,0,244
0,349,12
0,0,244
0,392,12
0,0,244
0,440,12
0,0,244
0,349,12
0,0,244
0,440,12
1,175,0
0,0,244
1,0,0
0,466,12
1,196,0
0,0,244
1,0,0
0,523,12
1,220,0
1,0,244
1,175,12
0,0,231
1,0,13
0,440,12
1,175,0
0,0,244
1,0,0
0,466,12
1,196,0
0,0,244
1,0,0
0,523,12
1,220,0
1,0,244
1,175,12
0,0,231
1,0,13
0,523,12
1,220,0
0,0,122
0,587,6
1,0,116
0,0,6
0,523,6
1,233,0
0,0,122
0,466,6
1,0,116
0,0,6
0,440,6
1,262,0
0,0,244
0,349,12
1,0,231
0,0,13
0,523,12
1,220,0
0,0,122
0,587,6
1,0,116
0,0,6
0,523,6
1,233,0
0,0,122
0,466,6
1,0,116
0,0,6
0,440,6
1,262,0
0,0,244
0,349,12
1,0,231
0,0,13
0,392,12
1,262,0
1,0,122
1,294,6
0,0,116
1,0,6
0,262,6
0,262,0
0,0,122
0,233,6
0,0,6
0,349,6
1,220,0
1,0,244
1,175,12
0,0,231
1,0,13
0,392,12
1,262,0
1,0,122
1,294,6
0,0,116
1,0,6
0,262,6
0,262,0
0,0,122
0,233,6
0,0,6
0,349,6
1,220,0
1,0,244
1,175,12
0,0,231
1,0,13
0,349,12
1,196,0
0,0,244
1,0,0
0,392,12
1,131,0
0,0,244
1,0,0
0,440,12
1,175,0
0,0,244
0,349,12
1,0,231
0,0,13
0,349,12
1,196,0
0,0,244
1,0,0
0,392,12
1,131,0
0,0,244
1,0,0
0,440,12
1,175,0
0,0,244
0,349,12
1,0,231
0,0,13
0,440,12
1,175,0
0,0,244
1,0,0
0,466,12
1,196,0
0,0,244
1,0,0
0,523,12
1,220,0
1,0,244
1,175,12
0,0,231
1,0,13
0,440,12
1,175,0
0,0,244
1,0,0
0,466,12
1,196,0
0,0,244
1,0,0
0,523,12
1,220,0
1,0,244
1,175,12
0,0,231
1,0,13
0,523,12
1,220,0
0,0,122
0,587,6
1,0,116
0,0,6
0,523,6
1,233,0
0,0,122
0,466,6
1,0,116
0,0,6
0,440,6
1,262,0
0,0,244
0,349,12
1,0,231
0,0,13
0,523,12
1,220,0
0,0,122
0,587,6
1,0,116
0,0,6
0,523,6
1,233,0
0,0,122
0,466,6
1,0,116
0,0,6
0,440,6
1,262,0
0,0,244
0,349,12
1,0,231
0,0,13
0,392,12
1,262,0
1,0,122
1,294,6
0,0,116
1,0,6
0,262,6
0,262,0
0,0,122
0,233,6
0,0,6
0,349,6
1,220,0
1,0,244
1,175,12
0,0,231
1,0,13
0,392,12
1,262,0
1,0,122
1,294,6
0,0,116
1,0,6
0,262,6
0,262,0
0,0,122
0,233,6
0,0,6
0,349,6
1,220,0
1,0,244
1,175,12
0,0,231
1,0,13
6,545454,12
0,196,0
0,0,244
0,131,12
0,0,244
0,175,12
0,0,487
0,196,25
0,0,244
0,131,12
0,0,244
0,175,12
0,0,487
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
0,0,0
